Branch,Component,Gender,abdominalextensiondepthsitting,acromialheight,acromionradialelength,anklecircumference,thumbtipreach,tibialheight,tragiontopofhead,trochanterionheight,verticaltrunkcircumferenceusa,waistbacklength,waistbreadth,waistcircumference,waistdepth,waistfrontlengthsitting,waistheightomphalion,wristcircumference,wristheight,weight_kg,stature_m,BMI,BMI_class,Height_class,
0,Combat Support,Regular Army,Female,231,1282,301,174,736,430,110,844,1488,406,295,850,217,345,942,152,756,65.7,1.56,26.99704142,Overweight,Normal
1,Combat Service Support,Regular Army,Female,194,1379,320,152,771,475,125,901,1470,422,254,708,168,329,1032,155,815,53.4,1.665,19.26250575,Normal,Normal
2,Combat Service Support,Regular Army,Female,183,1369,329,164,814,458,129,882,1542,419,269,727,159,367,1035,162,799,66.3,1.711,22.64714754,Normal,Tall
3,Combat Service Support,Regular Army,Female,261,1356,306,187,736,463,125,866,1627,451,302,923,235,371,999,173,818,78.2,1.66,28.37857454,Overweight,Normal
4,Combat Arms,Regular Army,Female,309,1303,308,197,766,429,116,800,1698,452,405,1163,300,380,911,152,762,88.6,1.572,35.853259,Overweight,Normal
5,Combat Service Support,Regular Army,Female,272,1428,326,196,803,474,127,922,1666,466,333,968,255,367,1053,159,844,83.7,1.707,28.72489274,Overweight,Tall
6,Combat Service Support,Regular Army,Female,261,1352,306,182,719,443,128,866,1618,456,344,964,258,368,971,154,814,73.2,1.644,27.08366633,Overweight,Normal
7,Combat Service Support,Regular Army,Female,229,1383,327,177,778,464,132,875,1605,445,338,914,220,404,1004,155,814,76,1.671,27.21828094,Overweight,Normal
8,Combat Service Support,Regular Army,Female,213,1237,308,161,695,419,117,798,1405,387,269,755,199,319,932,143,714,54.5,1.521,23.55798138,Normal,Small
9,Combat Service Support,Regular Army,Female,281,1301,278,172,740,421,115,824,1564,445,338,944,233,370,922,151,811,68.4,1.59,27.05589178,Overweight,Normal
10,Combat Service Support,Regular Army,Female,274,1395,318,195,804,470,129,892,1735,427,326,935,240,399,1036,180,819,99,1.707,33.97567959,Overweight,Tall
11,Combat Service Support,Regular Army,Female,284,1360,331,177,800,464,127,899,1598,432,323,942,248,388,1003,160,775,74.2,1.668,26.66931203,Overweight,Normal
12,Combat Service Support,Regular Army,Female,279,1368,342,162,769,451,110,874,1635,430,361,995,244,340,1001,159,788,78.1,1.654,28.54828498,Overweight,Normal
13,Combat Service Support,Regular Army,Female,214,1368,325,168,806,451,127,865,1587,430,307,848,200,351,1017,167,797,71.8,1.666,25.86869081,Overweight,Normal
14,Combat Service Support,Regular Army,Female,265,1315,320,177,769,450,122,846,1554,464,319,929,244,388,956,150,755,70.9,1.599,27.72996412,Overweight,Normal
15,Combat Support,Regular Army,Female,225,1371,312,177,719,448,123,848,1593,462,300,835,217,363,989,162,825,67.2,1.673,24.00918351,Normal,Normal
16,Combat Service Support,Regular Army,Female,193,1337,307,173,717,434,122,833,1565,458,278,772,185,351,970,162,801,62,1.647,22.8562244,Normal,Normal
17,Combat Support,Regular Army,Female,201,1387,302,153,755,470,115,882,1529,428,284,805,200,364,1022,149,834,59.5,1.678,21.13163267,Normal,Normal
18,Combat Service Support,Regular Army,Female,233,1374,342,175,778,473,123,899,1515,411,308,868,214,340,1019,155,789,74.1,1.679,26.28553469,Overweight,Normal
19,Combat Service Support,Regular Army,Female,214,1309,294,165,703,424,113,813,1541,435,288,792,178,353,960,150,787,60.5,1.615,23.19585158,Normal,Normal
20,Combat Support,Regular Army,Female,325,1239,278,191,707,385,117,739,1639,478,373,1137,318,388,837,160,759,80,1.517,34.76312623,Overweight,Small
21,Combat Support,Regular Army,Female,245,1356,328,181,798,461,127,890,1525,426,306,881,218,381,1013,155,787,74.7,1.674,26.65690317,Overweight,Normal
22,Combat Support,Regular Army,Female,181,1335,307,155,723,441,121,843,1497,425,251,702,165,354,972,146,787,49.1,1.623,18.63993753,Normal,Normal
23,Combat Support,Regular Army,Female,236,1382,303,170,729,454,127,878,1618,468,345,954,249,384,983,152,841,70.3,1.668,25.26755574,Overweight,Normal
24,Combat Service Support,Regular Army,Female,226,1361,326,172,829,470,132,869,1498,437,286,796,198,326,1026,151,780,71.5,1.644,26.45467408,Overweight,Normal
25,Combat Service Support,Regular Army,Female,300,1290,288,171,737,443,117,825,1549,442,330,1000,266,350,941,158,784,70.8,1.579,28.39677352,Overweight,Normal
26,Combat Service Support,Regular Army,Female,207,1146,249,140,602,349,128,660,1459,400,268,742,188,345,808,145,734,48.8,1.446,23.33905331,Normal,Small
