headbreadth,headcircumference,headlength,tragiontopofhead,neckcircumference,neckcircumferencebase
193,150,583,491,118,400
195,146,568,476,131,380
203,148,573,477,123,403
194,158,576,445,106,407
218,153,566,584,135,398
190,155,576,473,111,395
220,158,612,503,123,461
198,156,551,509,109,412
197,160,578,482,121,435
200,146,549,504,111,372
200,155,578,487,137,445
194,148,548,488,118,374
210,154,580,508,120,436
194,165,606,519,118,468
184,160,565,457,112,399
203,152,567,501,127,435
188,160,575,467,116,402
203,153,554,481,114,411
179,150,567,485,121,385
198,150,582,475,112,392
195,150,588,481,121,377
185,149,568,446,114,367
180,150,573,461,122,388
227,153,575,555,128,378
194,159,600,473,120,407
181,155,552,454,120,363
199,154,590,488,118,414
192,155,575,495,122,365
193,150,571,484,132,375
196,148,568,499,130,384
192,149,583,509,122,374
201,153,595,503,123,395
187,153,554,454,106,358
195,152,570,519,133,392
193,149,560,486,123,383
194,149,578,508,131,397
183,150,562,459,111,357
197,144,577,516,135,414
210,145,583,484,122,385
196,160,605,476,127,414
184,155,577,463,118,353
189,152,563,475,126,440
206,156,594,501,120,384
190,160,590,475,120,394
198,146,568,487,120,402
190,162,573,440,127,362
200,144,550,473,105,381
183,153,583,471,113,415
212,155,590,524,126,421
184,149,558,456,115,392
206,150,563,488,132,400
203,152,582,520,106,397
187,144,530,439,107,398
185,152,574,476,120,444
190,157,578,466,133,394
213,160,595,526,126,501
196,151,568,501,120,368
187,152,582,458,118,383
189,168,574,465,120,461
205,158,580,505,121,398
178,155,557,446,108,334
184,154,564,478,111,382
193,148,566,509,117,364
191,154,547,472,132,408
197,155,566,479,126,435
178,157,567,454,123,373
180,158,569,451,126,413
199,161,600,511,127,436
190,148,552,485,128,351
184,155,575,443,118,410
196,155,570,488,126,373
203,154,574,489,133,346
180,154,580,437,124,399
181,152,592,449,115,378
195,161,583,514,128,385
181,148,569,463,109,430
190,158,557,446,116,419
210,153,585,500,125,407
200,147,563,486,121,391
208,168,628,516,136,411
188,148,587,490,114,385
191,154,583,484,133,378
201,144,567,500,127,390
190,159,600,484,115,375
191,154,584,473,119,400
165,150,541,400,104,372
192,153,570,471,124,391
194,157,566,480,113,390
194,149,555,502,115,348
204,159,570,451,119,380
197,155,574,468,121,418
187,157,568,461,126,406
192,153,580,479,115,366
203,143,552,506,122,358
202,151,573,492,116,361
195,143,564,501,130,379
175,153,560,453,117,363
184,151,530,473,105,376
186,158,592,469,123,374
195,152,585,470,133,398
204,147,553,501,111,387
182,165,563,480,130,365
191,152,593,496,123,378
183,158,575,465,132,390
201,146,565,501,131,350
197,158,582,530,139,391
192,151,577,466,120,407
196,153,585,468,129,410
204,151,580,505,127,411
194,154,601,456,116,398
192,153,571,503,127,408
199,163,565,484,115,395
177,157,562,433,118,408
209,158,594,508,125,445
191,149,574,500,113,398
197,155,600,509,126,448
182,154,567,440,111,378
190,147,566,479,129,401
208,160,594,526,129,464
180,158,563,436,122,395
174,162,571,440,116,355
192,153,577,482,112,390
185,154,575,460,112,384
207,155,600,512,131,436
205,160,585,501,121,380
200,147,548,515,121,362
196,147,557,509,127,393
203,164,625,505,133,437
197,158,556,493,112,382
191,163,578,471,126,423
185,153,565,465,125,377
196,156,581,505,116,374
208,153,591,509,128,395
196,151,563,480,132,410
206,153,596,509,133,442
188,156,553,438,112,398
204,148,560,506,127,399
183,145,561,497,120,381
222,150,570,494,114,427
188,153,595,451,133,387
197,161,582,482,124,406
189,154,560,500,117,390
205,161,595,524,127,411
180,154,580,458,108,401
190,158,582,479,126,404
195,164,603,513,132,412
190,163,555,440,128,412
190,154,565,487,116,390
211,151,580,542,127,398
204,150,584,548,128,386
192,148,576,496,120,415
195,152,584,481,129,447
188,160,577,491,112,387
183,147,560,460,126,400
210,161,606,536,126,442
199,153,557,498,122,402
201,164,602,498,133,441
177,158,570,497,123,403
188,152,570,437,117,375
185,153,578,484,118,374
